Quadrant	Longitude	Latitude	Name	Bogennummer	Sprache
47/28	14,37790266	50,79284652	KAMNITZ-NEUDￃﾖRFL (KAMENICKￃﾁ NOVￃﾁ Vￃﾍ	15807	1
48/28	14,63295874	50,77707134	ZWICKAU (CVIKOV)	15824	1
49/28	14,93221691	50,77197058	CHRISTOPHSGRUND (KRYￅﾠTOFOVA ￃﾚDOLￃﾍ)	15847	1
50/28	15,15829159	50,77890432	GRￃﾄNZENDORF (HRANIￄﾌￃﾁ)	15858	1
71/54	21,36986045	54,92959481	ALT SUSIMILKEN (TARASSOWKA)	1588	1
50/27	15,16928862	50,67533905	PULETSCHNEI (PULEￄﾌNￃﾝ)	15971	1
47/27	14,39168331	50,63206481	GRABER (KRAVAￅﾘE)	15975	1
48/27	14,62813223	50,58543476	THAMMￃﾜHL (STARￃﾉ SPLAVY)	15989	1
49/27	14,90460482	50,62283086	PROSCHWITZ (ￄﾌESKￃﾁ PROSEￄﾌ)	15995	1
51/28	15,42528858	50,77531258	HARRACHSDORF (HARRACHOV)	16007	1
51/27	15,53	50,68	WITKOWITZ (VÍTKOVICE)	16015	1
52/27	15,69389245	50,59885819	FORST (FORT)	16050	1
53/27	15,94353338	50,59404379	GABERSDORF (LIBEￄﾌ)	16063	1
54/27	16,19811359	50,59375748	BODISCH (BOHDAￅﾠIN)	16083	1
52/26	15,68710662	50,45583613	ZWITSCHIN (ZVIￄﾌINA)	16139	1
53/26	15,95476147	50,41624184	GROￃﾟBOCK (VELKￃﾁ BUKOVINA)	16154	1
42/26	13,05587082	50,43936341	SCHMIEDEBERG (KOVￃﾁￅﾘSKￃﾁ)	16179	1
75/55	22,56764471	54,97028491	TULPENINGKEN (ZAREￄﾌNOE)	1626	1
40/25	12,57748601	50,27813882	WAITZENGRￃﾜN (LOUￄﾌNￃﾁ)	16276	1
76/55	22,74958463	54,93330301	WISBORIENEN (LIVNY)	1628	1
41/25	12,81664271	50,27172568	SITTMESGRￃﾜN (MEZIROLￃﾍ)	16298	1
42/25	13,07091971	50,29350573	PETERSDORF (PETROV)	16322	1
43/25	13,33150857	50,28046432	PODLETITZ (PODLESICE)	16338	1
39/24	12,31495822	50,12170839	KROPITZ (KRAPICE)	16442	1
40/24	12,5660173	50,11207273	EBERSFELD (PODLESI)	16470	1
41/24	12,81723239	50,11499453	RABENSGRￃﾜN (HAJE)	16491	1
42/24	13,06282229	50,10501819	LINTSCH (HLINEￄﾌ)	16523	1
69/54	20,82988029	54,91975148	POSTNICKEN (ZALIVNOE)	1654	1
43/23	13,28661929	50,01766262	KLOTANTSCHEN (KOTANEￄﾌ)	16602	1
43/26	13,35918004	50,44766083	TSCHERNOWITZ (ￄﾌERNOVICE)	16610	1
44/26	13,59572928	50,44732335	HAWRAN (HAVRAￅﾇ)	16625	1
45/26	13,83616126	50,45194726	LIEBSHAUSEN (LIBￄﾌEVES)	16636	1
70/54	21,06375338	54,89622754	LABAGIENEN/HAFFWINKEL (ZALIVINO)	1664	1
45/25	13,74314777	50,35326555	PRIESEN (BￅﾘEZNO)	16670	1
44/25	13,62176599	50,29310664	LIBESCHITZ (LIBￄﾚￅﾠICE)	16689	1
43/24	13,35397155	50,12209626	LESCHKAU (LEￅﾽKY)	16725	1
44/24	13,59466133	50,10758345	PSCHOBLIK (PￅﾠOVLKY)	16739	1
47/24	14,38722099	50,064376	PRAG-SMICHOW (SMￃﾍCHOV)	16751	1
57/26	16,994619	50,411871	WEIￃﾟBACH (BￃﾍLￃﾝ POTOK)	16755	1
54/25	16,31555194	50,30491688	SCHEDIWY (ￅﾠEDIVINY)	16770	1
