Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Active-intransitive	Active-intransitive-causative	Causative	Causative with Active-intransitive	Causative with Passive	Causative with Reflexive	Control transitive	Indirective applicative	Indirective applicative with Passive	Lexical suffix with Middle	Middle	Middle with Causative	Middle with Indirective applicative	Middle with Relational applicative	Noncontrol transitive	Passive	Relational applicative	Relational applicative with Passive	Unsuffixed
Sliammon	64	BE HUNGRY	qʼa-qʼa	19, 236, 237	V.sbj[1] 1	Never	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Never
Sliammon	65	ROLL	pəlʼkʷ	101	V.sbj[1] 1	Regularly	No data	Never	No data	No data	No data	Regularly	No data	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Never
Sliammon	66	SINK	θayʼ-əm	21, 191	V.sbj[1] 1	No data	No data	No data	No data	No data	No data	Regularly	Regularly	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Never
Sliammon	67	BURN	qʼətxʷ	112	V.sbj[1] 1	Regularly	No data	Regularly	No data	No data	No data	Regularly	Regularly	No data	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	68	BE DRY	šəmʼ	20, 188	V.sbj[1] 1	Regularly	No data	Never	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	69	RAIN	čʼəɬ	1, 143, 144	V	Never	No data	Marginally	No data	Marginally	No data	Never	Never	No data	No data	No data	No data	No data	No data	Never	Regularly	Never	No data	Never
Sliammon	70	BE A HUNTER	no verbal counterpart		N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Sliammon	71	GRIND	no verbal counterpart		N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Sliammon	72	WIPE	tʼᶿəkʷ-t	76, 204, 205, 206, 207, 208	V.obj[1].sbj[2] 1	Regularly	Regularly	Never	No data	No data	No data	Never	Regularly	No data	Regularly	No data	No data	No data	No data	Regularly	No data	No data	No data	Regularly
Sliammon	73	DIG	θiq-i-t	125, 126	V.obj[1].sbj[2] 1	Regularly	No data	No data	No data	No data	No data	Never	Regularly	No data	No data	Never	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	73	DIG	ʔuɬqʷu	113, 114, 115, 116	V.sbj[1] 1	Never	Marginally	Regularly	No data	No data	No data	No data	Regularly	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Never
Sliammon	74	PUSH	ǰuθ-u-t	63, 64, 65, 178	V.obj[1].sbj[2] 1	Regularly	No data	No data	No data	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	Regularly	Never	No data	Never
Sliammon	75	BRING	tʼaʔqʼ-aš	94, 95, 217	V.obj[1].sbj[2] 1	Regularly	No data	No data	No data	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	76	STEAL	čəwʼu-ni-t	60, 61, 62, 140	V.obj[1].sbj[2] 1 (obl-3)	Never	Regularly	Never	No data	No data	No data	Never	Never	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly
Sliammon	77	TEACH	tiwš-am-sxʷ	57, 58, 59	V.obj[1].sbj[2] 1 (obl-3)	Never	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly	Never	Regularly	No data	No data	No data	No data	No data	Never
Sliammon	78	HEAR	čʼiy-i-t	91, 158	V.obj[1].sbj[2] 1	No data	No data	No data	No data	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	79	COOK	čʼəx̣-a-t	87, 151, 152, 153, 154, 155, 156, 157	V.obj[1].sbj[2] 1	Regularly	Regularly	Regularly	No data	No data	No data	Never	Regularly	No data	No data	Never	No data	No data	No data	Regularly	Regularly	No data	No data	Regularly
Sliammon	80	BOIL	paɬuqʼʷ-um	88, 89	V.sbj[1] 1	No data	No data	No data	No data	No data	No data	Regularly	Regularly	No data	No data	Never	No data	No data	No data	Regularly	No data	No data	No data	Never
