Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Caused Motion Alternation	Goal Alternation - Prepositional (ʾilâ+ 'to') / Accusative Object	Locative Alternation 1	Locative Alternation 2	Locative Alternation 3	Object Adding Alternation	Object Omission Alternation	Prepositional (bi+) / Accusative object Alternation	Prepositional (min 'from') / Accusative Object Alternation	Stem II Causative	Stem IV Causative	Stem V Anticausative	Stem V Reflexive	Stem VI Passive	Stem VI Reciprocal	Stem VI Reflexive	Stem VII Anticausative	Stem VII Passive	Stem VIII Anticausative	Stem VIII Reciprocal	Stem VIII Reflexive	Stem X Causative	Theme / Recipient Alternation - Prepositional (li+ 'to') / Accusative Object	Theme / Source Alternation - Prepositional (min+ 'from') Accusative Object
Modern Standard Arabic	35	SHOW	ʾarâ	26, 28, 88, 206	V.subj[1] 1-nom (li+2) 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	No data	Never	Marginally	Never	Never	Never	Never	Never	Never	Regularly	Never
Modern Standard Arabic	36	GIVE	ʾaʿṭâ	86, 87	V.subj[1] 1-nom (li+2) 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Modern Standard Arabic	37	SEND	ʾarsala	89, 90	V.subj[1] 1-nom 2-acc (ʾilâ+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	38	CARRY	ḥamala	91, 92, 93	V.subj[1] 1-nom 2-acc (ʾilâ+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	39	THROW	ramâ	98, 99, 100, 101, 102	V.subj[1] 1-nom 2-acc LOC3	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	No data	Never	Never	Never	Never	Regularly	Never	Never	Never
Modern Standard Arabic	40	TIE	rabaṭa	103, 104, 105	V.subj[1] 1-nom 2-acc (ʾilâ+3) (bi+4)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never
Modern Standard Arabic	41	PUT	waḍaʿa	106	V.subj[1] 1-nom 2-acc LOC3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	42	POUR	ṣabba	107, 108, 109, 214	V.subj[1] 1-nom 2-acc LOC3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	43	COVER	ġaṭṭā	110, 111	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never
Modern Standard Arabic	44	FILL	malaʾa	1, 2, 3, 21	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never
Modern Standard Arabic	45	LOAD	ḥammala	92, 93, 94	V.subj[1] 1-nom 2-acc ʿalâ+3	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	45	LOAD	šaḥana	95, 96, 97	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	46	BLINK	ramaša	112	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	47	COUGH	saʿala	113	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	48	CLIMB	tasallaqa	114	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	49	RUN	ǧarâ	115, 116, 117, 251	V.subj[1] 1-nom	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	50	SIT	ǧalasa	118, 119	V.subj[1] 1-nom (LOC2)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	51	SIT DOWN	ǧalasa	118, 119	V.subj[1] 1-nom (LOC2)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
