Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
English	75	BRING	bring	Basic	1-nom > V.subj[1] > 2-acc (> to+3)	3	bringing recipient	to+NP	X
English	76	STEAL	steal	Basic	1-nom > V.subj[1] > 2-acc (> from+3)	1	stealer	NP-nom V.subj	A
English	76	STEAL	steal	Basic	1-nom > V.subj[1] > 2-acc (> from+3)	2	stolen thing	NP-acc	P
English	76	STEAL	steal	Basic	1-nom > V.subj[1] > 2-acc (> from+3)	3	stealing source	from+NP	X
English	77	TEACH	teach	Basic	1-nom > V.subj[1] > 2-acc > 3	1	teacher	NP-nom V.subj	A
English	77	TEACH	teach	Basic	1-nom > V.subj[1] > 2-acc > 3	2	teachee	NP-acc	P
English	77	TEACH	teach	Basic	1-nom > V.subj[1] > 2-acc > 3	3	taught content	Ø	X
English	78	HEAR	hear	Basic	1-nom > V.subj[1] > 2-acc	1	hearer	NP-nom V.subj	A
English	78	HEAR	hear	Basic	1-nom > V.subj[1] > 2-acc	2	heard sound	NP-acc	P
English	78	HEAR	listen (to)	Basic	1-nom > V.subj[1] > to+2	1	hearer	NP-nom V.subj	S
English	78	HEAR	listen (to)	Basic	1-nom > V.subj[1] > to+2	2	heard sound	to+NP	X
English	79	COOK	cook	Basic	1-nom > V.subj[1] > 2-acc	1	cooker	NP-nom V.subj	A
English	79	COOK	cook	Basic	1-nom > V.subj[1] > 2-acc	2	cooked food	NP-acc	P
English	80	BOIL	boil	Basic	1-nom > V.subj[1]	1	boiled thing	NP-nom V.subj	S
English	81	APPEAR	appear	Basic	1-nom > V.subj[1] > LOC2	1	appearer	NP-nom V.subj	S
English	81	APPEAR	appear	Basic	1-nom > V.subj[1] > LOC2	2	appear location	LOC	L
English	82	BE ILL	be sick	Basic	1-nom > V.subj[1]	1	sick person	NP-nom V.subj	S
English	82	BE ILL	feel sick	Basic	1-nom > V.subj[1]	1	sick person	NP-nom V.subj	S
English	83	CRY	cry	Basic	1-nom > V.subj[1]	1	crier	NP-nom V.subj	S
English	84	FALL	fall	Basic	1-nom > V.subj[1] > LOC2	1	fallee	NP-nom V.subj	S
English	84	FALL	fall	Basic	1-nom > V.subj[1] > LOC2	2	fall goal	LOC	L
English	85	MAKE	make	Basic	1-nom > V.subj[1] > 2-acc (> from+3)	1	maker	NP-nom V.subj	A
English	85	MAKE	make	Basic	1-nom > V.subj[1] > 2-acc (> from+3)	2	made thing	NP-acc	P
English	85	MAKE	make	Basic	1-nom > V.subj[1] > 2-acc (> from+3)	3	making material	from+NP	X
English	86	GET	get	Basic	1-nom > V.subj[1] > 2-acc	1	receiver	NP-nom V.subj	A
English	86	GET	get	Basic	1-nom > V.subj[1] > 2-acc	2	received thing	NP-acc	P
English	87	WANT	want	Basic	1-nom > V.subj[1] > 2-acc	1	wanter	NP-nom V.subj	A
English	87	WANT	want	Basic	1-nom > V.subj[1] > 2-acc	2	wanted thing	NP-acc	P
English	91	BE COLD	be cold	Basic	1-nom > V.subj[1]	1	cold thing	NP-nom V.subj	S
