Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Addressee li + hon insertion	Addressee vbiee insertion	Allative insertion	Ambitransitive	Applicative li insertion	Causative insertion	Distributive locative insertion (specific)	Distributive locative insertion (unspecific)	Elative insertion	External possessor alternation	Instrument insertion	Locative change of state	Locative omission	Object omission	Projected adherence insertion
Emai	71	GRIND	lọ	152, 153, 232, 233, 234	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Emai	72	WIPE	kalọ	154, 155, 156, 157, 235, 236	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never
Emai	73	DIG	tọn	158, 159, 237, 238	1 > V > 2	Never	Never	Marginally	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Emai	73	DIG	vun	160, 161, 239, 240	1 > V > 2	Never	Never	Marginally	Never	Regularly	Never	Never	Never	Never	Marginally	Regularly	Never	Never	Never	Never
Emai	74	PUSH	sua	162, 241, 242, 243, 244	1 > V > 2	Never	Never	Regularly	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
Emai	75	BRING	V re	163, 245	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	76	STEAL	do V	164, 165	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never
Emai	77	TEACH	vbiẹẹ	166, 167	1>V>2>3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	78	HEAR	họn	168, 169, 170	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	79	COOK	vbie	171, 172	1 > V > 2	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	79	COOK	nyẹ	173, 174, 246, 247	1 > V > 2	Never	Never	Marginally	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Emai	80	BOIL	tin	175, 248, 249	1>V	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
