Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Abstract subject	Accidental Body-part	Accidental Reflexive	Assisting Body-part	Benefactive	Causative-Inchoative	Cognate Object	Conative	Dative	Direct Quotation	Directed Nonverbal Expression	Experiencer Passive with of-Stimulus	Gerundive complement	Get-a-VP(nominal)	Have-a-VP(nominal)	Inchoative-Causative	Instrumental Object	Instrumental Subject	Into-Resultative	Location-capacity subject	Locative	Locative promotion	Locus of personal contact	Malefactive	Middle	Path subject	Possessor ascension	Quasi-agentive Instrumental Subject	Quasi-benefactive-accompaniment with	Reciprocal	Resultative complement	Source-of-part	Stimulus prepositional object	Stimulus Subject	That-complement	To-complement	Topic-about	Understood Omitted Object	Understood Reflexive Object	Way-construction	Wh-complement	With/against alternation
English	28	HIT	hit	129, 130, 131, 132, 133, 134, 135	1-nom > V.subj[1] > 2-acc (> with+3)	Never	Regularly	Regularly	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly
English	29	TOUCH	touch	125, 126, 127, 128, 395, 440, 441, 442	1-nom > V.subj[1] > 2-acc (> with+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	30	CUT	cut	15, 16, 17, 18, 19, 20, 148, 421	1-nom > V.subj[1] > 2-acc (> with+3)	Never	Regularly	Regularly	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Marginally	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	31	TAKE	take	200, 201, 202, 203, 355, 422, 423	1-nom > V.subj[1] > 2-acc (> from+3)	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	32	TEAR	tear	95, 96, 97, 438	1-nom > V.subj[1] > 2-acc > LOC3	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	33	PEEL	peel	149, 150, 151, 152, 153	1-nom > V.subj[1] > 2-acc (> with+3)	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	34	HIDE	hide	196, 197, 198, 199	1-nom > V.subj[1] > 2-acc (> from+3)	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	35	SHOW	show	204, 205, 206, 207, 208	1-nom > V.subj[1] > 2-acc (> to+3)	Never	Never	Never	Never	Never	Marginally	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	36	GIVE	give	89, 90, 91, 92, 415, 449	1-nom > V.subj[1] > 2-acc (> to+3)	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
English	37	SEND	send	93, 94, 416, 417	1-nom > V.subj[1] > 2-acc (> to+3)	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
