Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Mitsukaido Japanese	148		Musumekkonganja hon sense:nge ogureru.		musumekko=nganja hon sense:=nge ogur-e-ru	girl=EXP.TOP book.ACC teacher=DAT send-POT-NPST	The girl can send a book to the teacher.
Mitsukaido Japanese	149		Amakko sense:nge hon mottetta.		amakko sense:=nge hon mottet-ta	girl.NOM teacher=DAT book.ACC carry-PST	The girl carried a book to the teacher.
Mitsukaido Japanese	150		Ore amakkonge hon sense:nge mottengaseda.		ore amakko=nge hon sense:=nge motteng-ase-da	1sg.NOM girl=DAT book.ACC teacher=DAT carry-CAUS-PST	I made the girl carry a book to the teacher.
Mitsukaido Japanese	151		Ano hon ano amakkoni sense:n togosa mottengareda.		ano hon ano amakko=ni sense:=n togo=sa motteng-are-da	that book.NOM that girl=LOC teacher=GEN place=DAT carry-PASS-PST	That book was carried to the teacher by that girl.
Mitsukaido Japanese	152		Ano amakkongani sense:nge hon mottengeru.		ano amakko=ngani sense:=nge hon motteng-e-ru	that girl=EXP teacher=DAT book.ACC carry-POT-NPST	That girl can carry a book to the teacher.
Mitsukaido Japanese	153		Are ka:sa esikoro bunnangeda.		are ka:=sa esikoro bunnange-da	3sg.NOM river=DAT pebble.ACC throw-PST	She/he threw a stone into the river.
Mitsukaido Japanese	154		Ore arenge ka:sa esikoro bunnangeraseda.		ore are=nge ka:=sa esikoro bunnange-rase-da	1sg.NOM 3sg=DAT river=DAT pebble.ACC throw-CAUS-PST	I made her/him throw a stone into the river.
Mitsukaido Japanese	155		Arenganiwa, go:rigidagara, esi bunnangerareru.		are=ngani=wa go:rigi=dagara esi bunnange-rare-ru	3sg=EXP=TOP powerful=because stone.ACC throw-POT-NPST	Because she/he is powerful, she/he can throw a stone."
Mitsukaido Japanese	156		Are orenge bo:ru butskeda.		are ore=nge bo:ru butske-da	3sg.NOM 1sg=DAT ball.ACC throw-PST	She/he threw a ball to me.
Mitsukaido Japanese	157		Tonarinte arenge orenge bo:ru butskeraseda.		tonarinte are=nge ore=nge bo:ru butske-rase-da	neighbor.NOM 3sg=DAT 1sg=DAT ball.ACC throw-CAUS-PST	The neighbor made her/him throw a ball to me.
Mitsukaido Japanese	158		Ore areniwa bo:ru butskerarettsjaajo.		ore are=ni=wa bo:ru butske-rare-ttsja-a=jo	1sg.NOM 3sg=LOC=TOP ball.ACC throw-PASS-PERF-NPST=F	I was thrown a ball by her/him.
Mitsukaido Japanese	159		Arenganiwa darengedemo bo:ru butskerareru.		are=ngani=wa dare=nge-demo bo:ru butske-rare-ru	3sg=EXP=TOP who=DAT-even ball.ACC throw-POT-NPST	She/he can throw a ball to anyone.
Mitsukaido Japanese	160		Are mmagodo kisa tunaeda.		are mma=godo ki=sa tunae-da	3sg.NOM horse=ACC tree=DAT tie-PST	She/he tied a horse to the tree.
Mitsukaido Japanese	161		Ore arenge mmagodo kisa tunangaseda.		ore are=nge mma=godo ki=sa tunang-ase-da	1sg.NOM 3sg=DAT horse=ACC tree=DAT tie-CAUS-PST	I made her/him tie a horse to the tree.
Mitsukaido Japanese	162		Ano mma areni kisa tunangareda.		ano mma are=ni ki=sa tunang-are-da	that horse.NOM 3sg=LOC tree=DAT tie-PASS-PST	That horse was tied to the tree by her/him.
Mitsukaido Japanese	163		Arengani mmagodo mmagu kisa tunangeru.		are=ngani mma=godo mmagu ki=sa tunang-e-ru	3sg=EXP horse=ACC well.ADV tree=DAT tie-POT-NPST	She/he can tie a horse to the tree well.
Mitsukaido Japanese	164		Are tsukueno uesa hon oeda.		are tsukue=no ue=sa hon oe-da	3sg.NOM desk=GEN above=DAT book.ACC put-PST	He put the book on the table.
Mitsukaido Japanese	165		Ore arenge hon tsukueno uesa ogaseda.		ore are=nge hon tsukue=no ue=sa og-ase-da	1sg.NOM 3sg=DAT book.ACC desk=GEN above=DAT put-CAUS-PST	I made her/him put a book on the desk.
Mitsukaido Japanese	166		Arenganiwa kono tsukueno uesa hon ogerujo.		are=ngani=wa kono tsukue=no ue=sa hon og-e-ru=jo	3sg=EXP=TOP this desk=GEN above=DAT book.ACC put-POT-NPST=F	She/he can put a book on this desk.
Mitsukaido Japanese	167		Are ozja tsjawansa eppe: tsueda.		are ozja tsjawan=sa eppe: tsue-da	3sg.NOM tea.ACC cup=DAT full pour-PST	She/he poured tea into the cup full.
Mitsukaido Japanese	168		Ore arenge ozja tsjawansa tsungaseda.		ore are=nge ozja tsjawan=sa tsung-ase-da	1sg.NOM 3sg=DAT tea.ACC cup=DAT pour-CAUS-PST	I made her/him pour tea into the cup.
Mitsukaido Japanese	169		Arengani ozja umagu tsungene.		are=ngani ozja umagu tsung-e-ne	3sg=EXP tea.ACC well.ADV pour-POT-NEG.NPST	She/he can pour tea well.
Mitsukaido Japanese	170		Are kodomonge mo:hu kageda.		are kodomo=nge mo:hu kage-da	3sg.NOM child=DAT blanket.ACC cover-PST	She/he covered a child with a blanket.
Mitsukaido Japanese	171		Ore arenge mo:hu kodomonge kageraseda.		ore are=nge mo:hu kodomo=nge kage-rase-da	1sg.NOM 3sg=DAT blanket.ACC child=DAT cover-CAUS-PST	I made her/him cover the child with the blanket.
Mitsukaido Japanese	172		Kodomonge mo:hu kagatteru.		kodomo=nge mo:hu kagat-te-ru	child=DAT blanket.NOM cover-GER.be-NPST	The blanket is covering the child.
Mitsukaido Japanese	173		Kodomo areni mo:hu kagerareda.		kodomo are=ni mo:hu kage-rare-da	child.NOM 3sg=LOC blanket.ACC cover-PASS-PST	The child was covered with a blanket by her/him.
Mitsukaido Japanese	174		Arenganiwa, me: samesasenede, kodomonge mo:hu kagerareru.		are=ngani=wa me: same-sase-ne-de kodomo=nge mo:hu kage-rare-ru	3sg=EXP=TOP eye.ACC awaken-CAUS-NEG-GER child=DAT blanket.ACC cover-POT-NPST	She/he can cover the child with the blanket without letting the child awaken.
Mitsukaido Japanese	175		Are inomi ozjade ktsieppeni sjta.		are inomi ozja=de ktsieppe-ni sj-ta	3sg.NOM cup.ACC tea=INST full-ADV do-PST	She/he filled the cup with tea.
Mitsukaido Japanese	176		Ore arenge inomi ozjade ktsieppeni saseda.		ore are=nge inomi ozja=de ktsieppe-ni s-ase-da	1sg.NOM 3sg=DAT cup.ACC tea=INST full-ADV do-CAUS-PST	I made her/him fill the cup with tea.
Mitsukaido Japanese	177		Arenganiwa, hadaragimondagara, nagaja sazumade eppeni degiru.		are=ngani=wa hadaragimon=dagara nagaja sazuma=de eppe-ni degi-ru	3sg=EXP=TOP hardworker=because barn.ACC sweet_potato=INST full-ADV can-NPST	Because she/he is a hardworker, she/he can fill the barn with sweet potatoes."
Mitsukaido Japanese	178		Are ningurumasa wara eppe tsunda.		are ninguruma=sa wara eppe tsun-da	3sg.NOM wagon=DAT hay.ACC much load-PST	She/he loaded hay on the wagon full.
Mitsukaido Japanese	179		Ore arenge ningurumasa wara eppe tsumaseda.		ore are=nge ninguruma=sa wara eppe tsum-ase-da	1sg.NOM 3sg=DAT wagon=DAT hay.ACC much load-CAUS-PST	I made her/him load hay on the wagon full.
Mitsukaido Japanese	180		Arenganiwa ningurumasa nimotsu mmagu tsumeru.		are=ngani=wa ninguruma=sa nimotsu mmagu tsum-e-ru	3sg=EXP=TOP wagon=DAT baggage.ACC well.ADV load-POT-NPST	She/he can load hay on the wagon well.
Mitsukaido Japanese	181		Amakko mabadagi sjta.		amakko mabadagi_sj-ta	girl.NOM blink-PST	The girl blinked.
Mitsukaido Japanese	182		Are segi sjta.		are segi_sj-ta	3sg.NOM cough-PST	She/he coughed.
Mitsukaido Japanese	183		Are tskubasansa nobotta.		are tskubasan=sa nobot-ta	3sg.NOM Mt_Tsukuba=DAT climb-PST	She/he climbed Mt. Tsukuba.
Mitsukaido Japanese	184		Ore aregodo janesa noboraseda.		ore are=godo jane=sa nobor-ase-da	1sg.NOM 3sg=ACC roof=DAT climb-CAUS-PST	I made her/him climb the roof.
Mitsukaido Japanese	185		Arenganiwa tskubasansa noborebena.		are=ngani=wa tskubasan=sa nobor-e-be=na	3sg=EXP=TOP Mt_Tsukuba=DAT climb-POT-may=F	She/he may be able to climb Mt. Tsukuba.
Mitsukaido Japanese	186		Jarokko ro:ka kageda.		jarokko ro:ka kage-da	boy.NOM corridor.ACC run-PST	The boy ran around the corridor.
Mitsukaido Japanese	187		Ore jarokkogodo ro:ka kageraseda.		ore jarokko=godo ro:ka kage-rase-da	1sg.NOM boy=ACC corridor.ACC run-CAUS-PST	I made the boy run around the corridor.
Mitsukaido Japanese	188		Jarokkongani subajagu kagerareru.		jarokko=ngani subajagu kage-rare-ru	boy=EXP fast run-POT-NPST	The boy can run fast.
Mitsukaido Japanese	189		Are sogosa sa:tteru.		are sogo=sa sa:t-te-ru	3sg.NOM there=DAT sit-GER.be-NPST	She/he is sitting there.
Mitsukaido Japanese	190		Ore aregodo sogosa sa:raseda.		ore are=godo sogo=sa sa:r-ase-da	1sg.NOM 3sg=ACC there=DAT sit-CAUS-PST	I made her/him sit there.
Mitsukaido Japanese	191		Arengani ezumademo sa:reru.		are=ngani ezumademo sa:r-e-ru	3sg=EXP forever sit-POT-NPST	She/he can sit for a long time.
Mitsukaido Japanese	192		Kodomo esusa (kosi)kageda.		kodomo esu=sa (kosi)kage-da	child.NOM chair=DAT sit.down-PST	The child sat down on the chair.
Mitsukaido Japanese	193		Ore aregodo esusa (kosi)kageraseda.		ore are=godo esu=sa (kosi)kage-rase-da	1sg.NOM 3sg=ACC chair=DAT sit.down-CAUS-PST	I made her/him sit down on the chair.
Mitsukaido Japanese	194		Ano kodomongani, egagu nattande, hjtonde (kosi)kage(rare)rujo:ni natta.		ano kodomo=ngani egagu nat-ta=nde hjtonde kosikage-rare-ru=jo:ni nat-ta	that child=EXP big.ADV become-PST=because alone sit.down-POT-NPST=like become-PST	The child became big and she/he could sit down by herself/himself.
Mitsukaido Japanese	195		Ano jarokko niwade tondeda.		ano jarokko niwa=de ton-de-da	that boy.NOM garden=INST jump-GER.be-PST	That boy was jumping in the garden.
Mitsukaido Japanese	196		Ore ano jarokkogodo tobaseda.		ore ano jarokko=godo tob-ase-da	1sg.NOM that boy=ACC jump-CAUS-PST	I made that boy jump.
Mitsukaido Japanese	197		Ano jarokkonganiwa tagagu tobebena.		ano jarokko=ngani=wa tagagu tob-e-be=na	that boy=EXP=TOP high jump-POT-may=F	That boy may be able to jump high.
Mitsukaido Japanese	198		Jarokko udatta.		jarokko udat-ta	boy.NOM sing-PST	The boy sang.
Mitsukaido Japanese	199		Ore jarokkogodo uda:seda.		ore jarokko=godo uda:se-da	1sg.NOM boy=ACC sing.CAUS-PST	I made the boy sing.
Mitsukaido Japanese	200		Jarokko ko:ka mmagu udatta.		jarokko ko:ka mmagu udat-ta	boy.NOM school_song.ACC well.ADV sing-PST	The boy sang a school song.
Mitsukaido Japanese	201		Jarokkongani mmagu udaeru.		jarokko=ngani mmagu uda-e-ru	boy=EXP well.ADV sing-POT-NPST	The boy can sing well.
Mitsukaido Japanese	202		Jarokko egisa etta.		jarokko egi=sa et-ta	boy.NOM station=DAT go-PST	The boy went to the station.
Mitsukaido Japanese	203		Ore aregodo sogosa engaseda.		ore are=godo sogo=sa eng-ase-da	1sg.NOM 3sg=ACC there=DAT go-CAUS-PST	I made her/him go there.
Mitsukaido Japanese	204		Arengani sogosa engerujo.		are=ngani sogo=sa eng-e-ru=jo	3sg=EXP there=DAT go-POT-NPST=F	She/he can go there.
Mitsukaido Japanese	205		Ore sogogara dogede jatta.		ore sogo=gara doge-de jat-ta	1sg.NOM there=ABL leave-GER give-PST	I left there.
Mitsukaido Japanese	206		Ore kodomogodo dogeraseda.		ore kodomo=godo doge-rase-da	1sg.NOM child=ACC leave-CAUS-PST	I made a child leave.
Mitsukaido Japanese	207		Ore kodomogodo dogasjta.		ore kodomo=godo dogasj-ta	1sg.NOM child=ACC let.leave-PST	I made a child leave.
Mitsukaido Japanese	208		Jarokko sogosa sunderu.		jarokko sogo=sa sun-de-ru	boy.NOM there=DAT live-GER.be-NPST	The boy lives there.
Mitsukaido Japanese	209		Ore jarokkogodo sogosa sumaseda.		ore jarokko=godo sogo=sa sum-ase-da	1sg.NOM boy=ACC there=DAT live-CAUS-PST	I made the boy live there.
Mitsukaido Japanese	210		Ano jarokkongani semai hejademo sumeru.		ano jarokko=ngani semai heja=de=mo sum-e-ru	that boy=EXP small room=INST=even live-POT-NPST	That boy can live even in the small room.
Mitsukaido Japanese	211		Ano amakko waratta.		ano amakko warat-ta	that girl.NOM laugh-PST	That girl laughed.
Mitsukaido Japanese	212		Are amakkogodo wara:seda.		are amakko=godo wara:se-da	3sg.NOM girl=ACC laugh.CAUS-PST	I made the girl laugh.
Mitsukaido Japanese	213		Ano amakko aregodo warattedaganna.		ano amakko are=godo warat-te-da=ganna	that girl.NOM 3sg=ACC laugh-GER.be-PST=because.PRT	That girl was laughing at her/him.
Mitsukaido Japanese	214		Are ano amakkoni wara:reda.		are ano amakko=ni wara:re-da	3sg.NOM that girl=LOC laugh.PASS-PST	She/he was laughed at by that girl.
Mitsukaido Japanese	215		Are wame:da.		are wame:-da	3sg.NOM scream-PST	She/he screamed.
Mitsukaido Japanese	216		Ore aregodo wamegaseda.		ore are=godo wameg-ase-da	1sg.NOM 3sg=ACC scream-CAUS-PST	I made her/him scream.
Mitsukaido Japanese	217	Elicited from speaker	Kesa ore kosi edena.		kesa ore kosi ede=na	this_morning 1sg.NOM waist.NOM painful.NPST=F	This morning my waist hurt.
Mitsukaido Japanese	218		Orengani samue.		ore=ngani samue	1sg=EXP cold.NPST	I feel cold.
Mitsukaido Japanese	219		Are sinda.		are sin-da	3sg.NOM die-PST	She/he died.
Mitsukaido Japanese	220		Kodomora asunderu.		kodomora asun-de-ru	child.PL.NOM play-GER.be-NPST	The children are playing.
Mitsukaido Japanese	221		Ore kodomoragodo asubaseda.		ore kodomora=godo asub-ase-da	1sg.NOM child.PL=ACC play-CAUS-PST	I made the children play.
Mitsukaido Japanese	222		Ano kodomonganiwa hjtonde asuberu.		ano kodomo=ngani=wa hjtonde asub-e-ru	that child=EXP=TOP alone play-POT-NPST	That child can play by herself/himself.
Mitsukaido Japanese	223		Ore kanasi:.		ore kanasi:	1sg.NOM sad.NPST	I am sad.
Mitsukaido Japanese	224		Ora hara hetta.		ora hara het-ta	1sg.TOP stomach.NOM empty-PST	I am hungry.
Mitsukaido Japanese	225		Kodomo hara herasjte kaette kjta.		kodomo hara herasj-te kaet-te kj-ta	child.NOM stomach.ACC empty-GER return-GER come-PST	The child came home hungry.
Mitsukaido Japanese	226		Bo:ru korongatta.		bo:ru korongat-ta	ball.NOM roll-PST	The ball rolled.
Mitsukaido Japanese	227		Ore bo:ru korongasjta.		ore bo:ru korongasj-ta	1sg.NOM ball.ACC roll-PST	I rolled a ball.
Mitsukaido Japanese	228		Hune sizunda.		hune sizun-da	boat.NOM sink-PST	The boat sank.
Mitsukaido Japanese	229		Ore hune sizumeda.		ore hune sizume-da	1sg.NOM boat.ACC sink-PST	I sank the boat.
Mitsukaido Japanese	230		Samma jageda.		samma jage-da	saury.NOM burn-PST	A saury was grilled.
Mitsukaido Japanese	231		Ore arenge samma jagaseda.		ore are=nge samma jag-ase-da	1sg.NOM 3sg=DAT saury.ACC burn-CAUS-PST	I made her/him grill a saury.
Mitsukaido Japanese	232		Ore samma jaeda.		ore samma jae-da	1sg.NOM saury.ACC burn-PST	I grilled a saury.
Mitsukaido Japanese	233		Arengani umagu sagana jagera.		are=ngani umagu sagana jag-e-ra	3sg=EXP well.ADV fish.ACC burn-POT-NPST.F	She/he can grill a saury well.
Mitsukaido Japanese	234		Ano uzi jagederu.		ano uzi jage-de-ru	that house.NOM burn-GER.be-NPST	The house is burning.
Mitsukaido Japanese	235		Are, hino husimazude, uzi jaetsitta.		are hi=no husimazu=de uzi jae-tsit-ta	3sg.NOM fire=GEN carelessness=INST house.ACC let.burn-PERF-PST	She/he got her/his house burned because she/he did not watch the fire properly.
Mitsukaido Japanese	236		Hku kawaeda.		hku kawae-da	clothes.NOM dry-PST	The clothes dried.
Mitsukaido Japanese	237		Ore hku kawagasjta.		ore hku kawagasj-ta	1sg.NOM clothes.ACC dry-PST	I dried the clothes.
Mitsukaido Japanese	238		Ame hutte kjtagara esoede komejo!		ame hut-te kj-ta=gara esoede kom-e=jo	rain.NOM fall-GER come-PST=because in_a_hurry take_(clothes)_in_the_house-IMP=F	Because it begins raining, take the clothes into the house!"
Mitsukaido Japanese	239		Tuzituzide omaeri sjte, ame huraseru.		tuzituzi=de omaeri sj-te ame hur-ase-ru	crossroads=INST ceremony.ACC do-GER rain.ACC fall-CAUS-NPST	We will make it rain, by performing a ceremony at the crossroads."
Mitsukaido Japanese	240		Ore usangigodo totta.		ore usangi=godo tot-ta	1sg.NOM rabbit=ACC hunt-PST	I hunted a rabbit.
Mitsukaido Japanese	241		Ore arenge usangigodo toraseda.		ore are=nge usangi=godo tor-ase-da	1sg.NOM 3sg=DAT rabbit=ACC hunt-CAUS-PST	I made her/him hunt a rabbit.
Mitsukaido Japanese	242		Areni usangi torarettjtta.		are=ni usangi tor-are-ttjt-ta	3sg=LOC rabbit.NOM hunt-PASS-PERF-PST	The rabbit was hunted by her/him.
Mitsukaido Japanese	243		Orenganja usangi tonno mmaedo.		ore=nganja usangi ton=no mmae=do	1sg=EXP.TOP rabbit.ACC hunt=GEN.NOM good.NPST=F	I'm good at hunting a rabbit.
Mitsukaido Japanese	244		Are goma sutta.		are goma sut-ta	3sg.NOM sesame.ACC grind-PST	She/he ground sesame.
Mitsukaido Japanese	245		Ore arenge goma suraseda.		ore are=nge goma sur-ase-da	1sg.NOM 3sg=DAT sesame.ACC grind-CAUS-PST	I made her/him grind sesame.
Mitsukaido Japanese	246		Arengani mmagu goma sureru.		are=ngani mmagu goma sur-e-ru	3sg=EXP well.ADV sesame.ACC grind-POT-NPST	She/he can grind sesame well.
Mitsukaido Japanese	247		Are esusude soba hi:da.		are esusu=de soba hi:-da	3sg.NOM millstone=INST buckwheat.ACC grind-PST	She/he ground buckwheat with a millstone.
Mitsukaido Japanese	248		Ore arenge esusude soba higaseda.		ore are=nge esusu=de soba hig-ase-da	1sg.NOM 3sg=DAT millstone=INST buckwheat.ACC grind-CAUS-PST	I made her/him grind buckwheat with a millstone.
Mitsukaido Japanese	249		Arengani mmagu soba higeru.		are=ngani mmagu soba hig-e-ru	3sg=EXP well.ADV buckwheat.ACC grind-POT-NPST	She/he can grind buckwheat with a millstone.
Mitsukaido Japanese	250		Amakko te:buru hueda.		amakko te:buru hue-da	girl.NOM table.ACC wipe-PST	The girl wiped a table.
Mitsukaido Japanese	251		Ore amakkonge te:buru hugaseda.		ore amakko=nge te:buru hug-ase-da	1sg.NOM girl=DAT table.ACC wipe-CAUS-PST	I made the girl wipe the table.
Mitsukaido Japanese	252		Ano amakkongani mmagu te:buru hugeru.		ano amakko=ngani mmagu te:buru hug-e-ru	that girl=EXP well.ADV table.ACC wipe-POT-NPST	The girl can wipe the table well.
Mitsukaido Japanese	253		Amakko te:buruno uena mizu nugutta.		amakko te:buru=no ue=na mizu nugut-ta	girl.NOM table=GEN above=ADNLOC water.ACC wipe-PST	The girl wiped the water from the table.
Mitsukaido Japanese	254		Ore amakkonge mizu nuguwaseda.		ore amakko=nge mizu nuguw-ase-da	1sg.NOM girl=DAT water.ACC wipe-CAUS-PST	I made the girl wipe the water.
Mitsukaido Japanese	255		Ano amakkongani mizu mmagu nugueru.		ano amakko=ngani mizu mmagu nugu-e-ru	that girl=EXP water well.ADV wipe-POT-NPST	The girl can wipe the water well.
Mitsukaido Japanese	256		Ore uena hadagesa medo hotta.		ore ue=na hadage=sa medo hot-ta	1sg.NOM above=ADNLOC field=DAT hole.ACC dig-PST	I dug a hole in the field above.
Mitsukaido Japanese	257		Ore arenge uena hadagesa medo horaseda.		ore are=nge ue=na hadage=sa medo hor-ase-da	1sg.NOM 3sg=DAT above=ADNLOC field=DAT hole.ACC dig-CAUS-PST	I made her/him dig a hole in the field above.
Mitsukaido Japanese	258		Arengani sunguni medo horeru.		are=ngani sunguni medo hor-e-ru	3sg=EXP immediately hole.ACC dig-POT-NPST	She/he can dig a hole soon.
Mitsukaido Japanese	259		Are emo hotteru.		are emo hot-te-ru	3sg.NOM potato.ACC dig-GER.be-NPST	She/he is digging for potatoes.
Mitsukaido Japanese	260		Ore arenge emo horaseda.		ore are=nge emo hor-ase-da	1sg.NOM 3sg=DAT potato.ACC dig-CAUS-PST	I made her/him dig for potatoes.
Mitsukaido Japanese	261		Arengani mmagu emo horeru.		are=ngani mmagu emo hor-e-ru	3sg=EXP well.ADV potato.ACC dig-POT-NPST	She/he can dig for potatoes.
Mitsukaido Japanese	262		Amakko arenga senaga osjta.		amakko are=nga senaga osj-ta	girl.NOM 3sg=POS back.ACC push-PST	The girl pushed her/his back.
Mitsukaido Japanese	263		Ore amakkonge arenga senaga osaseda.		ore amakko=nge are=nga senaga os-ase-da	1sg.NOM girl=DAT 3sg=POS back.ACC push-CAUS-PST	I made the girl push her/his back.
Mitsukaido Japanese	264		Are amakkoni senaga osareda.		are amakko=ni senaga os-are-da	3sg.NOM girl=LOC back.ACC push-PASS-PST	She/he had her/his back pushed by the girl.
Mitsukaido Japanese	265		Ano amakkongani arenga senaga oseru.		ano amakko=ngani are=nga senaga os-e-ru	that girl=EXP 3sg=POS back.ACC push-POT-NPST	That girl can push her/his back.
Mitsukaido Japanese	266		Amakko sense:nga hon nusunda.		amakko sense:=nga hon nusun-da	girl.NOM teacher=POS book.ACC steal-PST	The girl stole the teacher's book.
Mitsukaido Japanese	267		Ore amakkonge sense:nga hon nusumaseda.		ore amakko=nge sense:=nga hon nusum-ase-da	1sg.NOM girl=DAT teacher=POS book.ACC steal-CAUS-PST	I made the girl steal the teacher's book.
Mitsukaido Japanese	268		Sense: amakkoni hon nusumareda.		sense: amakko=ni hon nusum-are-da	teacher.NOM girl=LOC book.ACC steal-PASS-PST	The teacher was stolen her/his book by the girl.
Mitsukaido Japanese	269		Amakkongani sense:nga hon nusumeru.		amakko=ngani sense:=nga hon nusum-e-ru	girl=EXP teacher=POS book.ACC steal-POT-NPST	The girl can steal the teacher's book.
Mitsukaido Japanese	270		Areni pan kuttjawareda.		are=ni pan kut-tjaw-are-da	3sg=LOC bread.NOM eat-PERF-PASS-PST	The bread had been eaten by her/him.
Mitsukaido Japanese	271		Sense: orenge su:ngagu ose:da.		sense: ore=nge su:ngagu ose:-da	teacher.NOM 1sg=DAT mathematics.ACC teach-PST	The teacher taught me math.
Mitsukaido Japanese	272		Ka:tjan agambogodo dakko sjteda.		ka:tjan agambo=godo dakko_sj-te-da	mother.NOM baby=ACC hold-GER.be-PST	Mother hugged the baby.
Mitsukaido Japanese	273		Ore arenge jarokkonge kore oseraseda.		ore are=nge jarokko=nge kore ose-rase-da	1sg.NOM 3sg=DAT boy=DAT this.ACC teach-CAUS-PST	I made her/him teach this to the boy.
Mitsukaido Japanese	274		Agambo ka:tjannge dagasatteda.		agambo ka:tjan=nge dagasat-te-da	baby.NOM mother=DAT be.held-GER.be-PST	The baby was hugged in her/his mother's arm.
Mitsukaido Japanese	275		Ore sense:ni kore osatta.		ore sense:=ni kore osat-ta	1sg.NOM teacher=LOC this.ACC be.taught-PST	I learnt this from the teacher.
Mitsukaido Japanese	276		Agambo ka:tjanni dakko sarededa.		agambo ka:tjan=ni dakko_s-are-de-da	baby.NOM mother=LOC hold-PASS-GER.be-PST	The baby was hugged by her/his mother.
Mitsukaido Japanese	277		Ore areni kore oserareda.		ore are=ni kore ose-rare-da	1sg.NOM 3sg=LOC this.ACC teach-PASS-PST	I was taught this by her/him.
Mitsukaido Japanese	278		Ore tonarino amakkogodo skida.		ore tonari=no amakko=godo ski=da	1sg.NOM next=GEN girl=ACC like=COP.NPST	I like the girl next door.
Mitsukaido Japanese	279		Arengani arenge mmagu kore oserareru.		are=ngani are=nge mmagu kore ose-rare-ru	3sg=EXP 3sg=DAT well.ADV this.ACC teach-POT-NPST	She/he can teach this to her/him well.
Mitsukaido Japanese	280		Ore manzju: kini etta.		ore manzju: kini_et-ta	1sg.NOM manju.ACC like-PST	I like manju.
Mitsukaido Japanese	281		Orengani ano odo kigeru.		ore=ngani ano odo kige-ru	1sg=EXP that sound.NOM hear-NPST	I can hear that sound.
Mitsukaido Japanese	282		Amakkoni hku arattja:reda.		amakko=ni hku ara-ttja:re-da	girl=LOC clothes.NOM wash-PERF.PASS-PST	The clothes were washed by the girl.
Mitsukaido Japanese	283		Oi waeda.		oi wae-da	hot_water.NOM boil-PST	The water boiled.
Mitsukaido Japanese	284		Ore ano amakkodo egiattajo.		ore ano amakko=do egiat-ta=jo	1sg.NOM that girl=COM meet-PST=F	I met that girl.
Mitsukaido Japanese	285		Ore oi wagasjta.		ore oi wagasj-ta	1sg.NOM hot_water.ACC boil-PST	I boiled the water.
Mitsukaido Japanese	286		Amakko sense:nge odomegodo miseda.		amakko sense:=nge odome=godo mise-da	girl.NOM teacher=DAT baby=ACC show-PST	The girl showed a baby to the teacher.
Mitsukaido Japanese	287		Ore amakkonge sense:nge sjkudae miseraseda.		ore amakko=nge sense:=nge sjkudae mise-rase-da	1sg.NOM girl=DAT teacher=DAT homework.ACC show-CAUS-PST	I made the girl show the homework to the teacher.
Mitsukaido Japanese	288		Sense: amakkoni odomegodo miserareda.		sense: amakko=ni odome=godo mise-rare-da	teacher.NOM girl=LOC baby=ACC show-PASS-PST	The teacher was shown a baby by the girl.
Mitsukaido Japanese	289		Ano amakkonganja sense:nge odomegodo mise-{rare/re}-ru.		ano amakko=nganja sense:=nge odome=godo mise-{rare/re}-ru	that girl=EXP.TOP teacher=DAT baby=ACC show-POT-NPST	The girl can show a baby to the teacher.
Mitsukaido Japanese	290		Musumekko kjogugara gakko:sa hon ogutta.		musumekko kjogu=gara gakko:=sa hon ogut-ta	girl.NOM post_office=ABL school=DAT book.ACC send-PST	The girl sent a book to school from the post office.
Mitsukaido Japanese	291		Ore musumekkonge hon gakko:sa oguraseda.		ore musumekko=nge hon gakko:=sa ogur-ase-da	1sg.NOM girl=DAT book.ACC school=DAT send-CAUS-PST	I made the girl send a book to school.
Mitsukaido Japanese	292		Amakko gakko:sa hon mottetta.		amakko gakko:=sa hon mottet-ta	girl.NOM school=DAT book.ACC carry-PST	The girl carried a book to school.
Mitsukaido Japanese	293		Ore amakkonge hon gakko:sa mottengaseda.		ore amakko=nge hon gakko:=sa motteng-ase-da	1sg.NOM girl=DAT book.ACC school=DAT carry-CAUS-PST	I made the girl carry a book to school.
Mitsukaido Japanese	294		Ore jarokkonge ko:ka uda:seda.		ore jarokko=nge ko:ka uda:se-da	1sg.NOM boy=DAT school_song.ACC sing.CAUS-PST	I made the boy sing a school song.
Mitsukaido Japanese	295		Are kanasinderu.		are kanasin-de-ru	3sg.NOM be_sad-GER.be-NPST	She/he feels sad.
Mitsukaido Japanese	296		Areni usangi tottjareda.		are=ni usangi tot-tjare-da	3sg=LOC rabbit.NOM hunt-PERF.PASS-PST	The rabbit was hunted by her/him.
Mitsukaido Japanese	297		Ore aregodo amakkodo egia:seda.		ore are=godo amakko=do egia:se-da	1sg.NOM 3sg=ACC girl=COM meet.CAUS-PST	I made her/him meet the girl.
Mitsukaido Japanese	298		Sense: odomegodo mida.		sense: odome=godo mi-da	teacher.NOM baby=ACC see-PST	The teacher saw a baby.
Mitsukaido Japanese	299		Are tskubasan nobotta.		are tskubasan nobot-ta	3sg.NOM Mt_Tsukuba.ACC climb-PST	She/he climbed Mt. Tsukuba.
