Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Causative	Deagentive	Direct object shift	Extraversive	Fientive	Incorporative	Indirect participation	Introversive	Passive	Reciprocal	Reflexive	Usative
Yucatec Maya	47	COUGH	sa'sa'kaal	54	sbj[1].V 1	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	48	CLIMB	na'k	56, 285	sbj[1].V LOC2 1	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	49	RUN	áalkab	57, 120, 121, 122	sbj[1].V 1	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	49	RUN	áalkabt	121	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Yucatec Maya	50	SIT	kul	58, 59, 286	sbj[1].V LOC2 1	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	51	SIT DOWN	kul	58, 59, 286	sbj[1].V LOC2 1	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	52	JUMP	síit'	60, 287	sbj[1].V 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	53	SING	k'ay	61, 62, 210, 211, 288	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Marginally	Regularly	Regularly	Marginally	Never	Never
Yucatec Maya	54	GO	bin	40, 63	sbj[1].V LOC2 1	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	55	LEAVE	hóok'	64, 289	sbj[1].V LOC2 1	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	56	LIVE	kah	65, 212	sbj[1].V LOC2 1	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	57	LAUGH	che'h	66, 291	sbj[1].V 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	58	SCREAM	awat (1)	22, 67, 145	sbj[1].V 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	59	FEEL PAIN	yah	68, 219, 355	sbj[1].V 1	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	59	FEEL PAIN	k'i'nam	69	sbj[1].V 1	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	60	FEEL COLD	ke'l	70, 220	sbj[1].V 1	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	61	DIE	kíim	27, 71, 149	sbj[1].V 1	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	62	PLAY	báaxal	72, 215, 222, 224	sbj[1].V 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never
Yucatec Maya	62	PLAY	báaxt	222, 223	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
